name,party,year,geography,war,war_text
Charlie Crist,D,2020,FL-13,1.3,D+1.3
Charlie Dent,R,2016,PA-15,6.3,R+6.3
Charlie Schaupp,R,2018,CA-03,1.1,R+1.1
Charlie Winn,R,2020,CO-02,3.7,R+3.7
Charlotte Bergmann,R,2024,TN-09,-1.1,D+1.1
Chele Farley,R,2020,NY-18,-8.7,D+8.7
Chellie Pingree,D,2024,ME-01,-0.0,D+0
Cheri Bustos,D,2020,IL-17,4.0,D+4
Cheryl Riley,R,2024,MD-08,3.0,R+3
Chintan Desai,D,2018,AR-01,-8.2,R+8.2
Chip Coldiron,D,2020,IN-03,0.1,D+0.1
Chip Evans,D,2016,NV-02,-3.0,R+3
Chip Markel,D,2022,IL-12,-1.3,R+1.3
Chip Roy,R,2024,TX-21,-2.6,D+2.6
Chris Bish,R,2020,CA-06,-0.5,D+0.5
Chris Chaffee,R,2014,MD-05,3.0,R+3.0
Chris Collins,R,2018,NY-27,-15.6,D+15.6
Chris Coulombe,R,2024,CA-02,4.0,R+4
Chris Dargis,R,2022,IL-08,1.0,R+1
Chris Day,R,2014,NY-17,-2.3,D+2.3
Chris DePizzo,R,2018,OH-13,-0.6,D+0.6
Chris Deluzio,D,2024,PA-17,1.8,D+1.8
Chris Eddy,R,2024,FL-25,1.3,R+1.3
Chris Fedalei,D,2016,SC-04,-0.2,R+0.2
Chris Gibson,R,2014,NY-19,17.4,R+17.4
Chris Hunter,D,2018,FL-12,-3.1,R+3.1
Chris Jacobs,R,2020,NY-27,-0.6,D+0.6
Chris Mitchum,R,2014,CA-24,7.8,R+7.8
Chris Palombi,R,2022,MD-05,3.3,R+3.3
Chris Pappas,D,2024,NH-01,3.2,D+3.2
Chris Reed,D,2024,WV-01,3.2,D+3.2
Chris Rockwood,D,2014,WI-05,-1.4,R+1.4
Chris Smith,R,2024,NJ-04,2.9,R+2.9
Chris Stewart,R,2022,UT-02,-0.3,D+0.3
Chris Van Hollen,D,2014,MD-08,-2.8,R+2.8
Chris West,R,2022,GA-02,-3.5,D+3.5
Chrissy Houlahan,D,2024,PA-06,-1.5,R+1.5
Christian Cano,D,2016,NC-09,6.0,D+6
Christian Castelli,R,2022,NC-06,1.7,R+1.7
Christian Nascimento,R,2022,PA-04,-1.2,D+1.2
Christian Valiente,R,2018,CA-35,0.2,R+0.2
Christian Zimm,R,2022,GA-05,-0.5,D+0.5
Christina Barr,R,2014,MI-14,1.9,R+1.9
Christina Bohannan,D,2024,IA-01,11.3,D+11.3
Christina Finello,D,2020,PA-01,-14.8,R+14.8
Christina Hagan,R,2020,OH-13,-2.1,D+2.1
Christina Hale,D,2020,IN-05,1.6,D+1.6
Christina Hartman,D,2016,PA-16,-2.9,R+2.9
Christina Owen,D,2016,OK-04,1.3,D+1.3
Christinan Onuoha,R,2020,NJ-06,-4.5,D+4.5
