district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population,source
MO-05,59.17,21.99,11.35,1.96,5.53,33.91,26.05,38.71,7.86,27.37,21.59,27.37,30.8,20.24,36.7,66502,769211,ACS_2023_5yr_old_lines
MO-06,87.39,3.52,4.02,1.16,3.92,26.43,23.65,65.55,2.78,8.02,19.07,24.74,33.22,22.96,39.6,71527,771228,ACS_2023_5yr_old_lines
MO-07,84.65,1.75,6.27,1.41,5.92,27.05,24.15,63.61,2.9,9.33,21.47,24.1,31.23,23.21,38.4,60240,777886,ACS_2023_5yr_old_lines
MO-08,87.62,3.99,2.46,0.81,5.12,20.38,18.48,71.36,1.9,8.26,18.78,23.82,33.44,23.97,40.2,58701,771880,ACS_2023_5yr_old_lines
MS-01,64.19,27.97,3.91,0.89,3.04,23.65,17.58,49.79,6.08,26.55,21.34,24.73,32.77,21.16,38.0,60877,743078,ACS_2023_5yr
MS-02,31.13,64.03,2.26,0.47,2.12,21.03,9.28,25.48,11.75,53.49,21.1,24.01,32.26,22.63,38.5,43811,726691,ACS_2023_5yr
MS-03,58.85,33.88,2.77,1.11,3.39,27.92,20.25,41.84,7.67,30.24,21.14,24.7,32.01,22.15,38.4,57738,738313,ACS_2023_5yr
MS-04,67.06,22.17,5.41,1.38,3.98,23.99,18.69,51.89,5.3,24.11,20.47,25.06,32.74,21.74,38.6,58969,743356,ACS_2023_5yr
MT-01,85.64,0.38,4.27,0.97,8.74,37.96,34.39,53.48,3.57,8.56,21.17,24.35,30.1,24.38,40.1,70599,556623,ACS_2023_5yr
MT-02,82.51,0.57,4.52,0.64,11.76,31.04,28.23,58.19,2.81,10.77,17.86,24.64,31.82,25.69,40.4,69114,548449,ACS_2023_5yr
NC-01,47.37,40.23,7.27,0.94,4.18,22.41,14.64,36.0,7.77,41.59,20.73,22.5,32.38,24.39,40.4,54958,750075,ACS_2023_5yr_old_lines
NC-02,56.94,17.49,11.13,9.94,4.5,59.27,40.03,20.71,19.25,20.02,21.52,29.2,33.05,16.23,37.2,102125,753587,ACS_2023_5yr_old_lines
NC-03,64.56,17.35,11.61,1.26,5.23,24.93,20.08,48.92,4.85,26.15,23.73,22.72,30.48,23.07,37.5,63275,752729,ACS_2023_5yr_old_lines
NC-04,53.16,24.65,13.37,4.24,4.58,44.72,30.24,27.38,14.47,27.91,23.65,25.59,31.05,19.72,37.4,75224,752243,ACS_2023_5yr_old_lines
